latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.0650263,39.298985,61.0,10800,Africa/Dar_es_Salaam,EAT

time,temperature_2m (°C),relative_humidity_2m (%)
2026-04-27T00:00,24.0,98
2026-04-27T01:00,23.8,98
2026-04-27T02:00,23.6,99
2026-04-27T03:00,23.6,98
2026-04-27T04:00,23.4,99
2026-04-27T05:00,23.3,99
2026-04-27T06:00,23.2,99
2026-04-27T07:00,23.3,99
2026-04-27T08:00,24.4,96
2026-04-27T09:00,25.8,91
2026-04-27T10:00,27.5,82
2026-04-27T11:00,28.4,77
2026-04-27T12:00,29.7,72
2026-04-27T13:00,30.5,66
2026-04-27T14:00,26.2,91
2026-04-27T15:00,28.2,81
2026-04-27T16:00,28.4,76
2026-04-27T17:00,28.2,73
2026-04-27T18:00,26.8,82
2026-04-27T19:00,25.3,90
2026-04-27T20:00,24.7,93
2026-04-27T21:00,24.5,94
2026-04-27T22:00,24.5,94
2026-04-27T23:00,24.4,94
2026-04-28T00:00,24.5,94
2026-04-28T01:00,24.1,96
2026-04-28T02:00,23.8,97
2026-04-28T03:00,23.5,98
2026-04-28T04:00,23.4,98
2026-04-28T05:00,23.2,98
2026-04-28T06:00,23.0,98
2026-04-28T07:00,23.2,98
2026-04-28T08:00,25.0,92
2026-04-28T09:00,26.4,86
2026-04-28T10:00,28.0,79
2026-04-28T11:00,28.5,75
2026-04-28T12:00,29.1,71
2026-04-28T13:00,30.0,68
2026-04-28T14:00,30.1,66
2026-04-28T15:00,27.1,86
2026-04-28T16:00,28.4,78
2026-04-28T17:00,27.9,77
2026-04-28T18:00,26.5,86
2026-04-28T19:00,25.6,91
2026-04-28T20:00,25.0,94
2026-04-28T21:00,24.8,95
2026-04-28T22:00,24.5,96
2026-04-28T23:00,24.5,96
2026-04-29T00:00,24.4,96
2026-04-29T01:00,24.1,97
2026-04-29T02:00,23.6,98
2026-04-29T03:00,23.5,98
2026-04-29T04:00,23.4,99
2026-04-29T05:00,23.5,99
2026-04-29T06:00,23.1,99
2026-04-29T07:00,23.5,99
2026-04-29T08:00,24.5,96
2026-04-29T09:00,25.6,89
2026-04-29T10:00,27.4,82
2026-04-29T11:00,28.9,74
2026-04-29T12:00,29.3,70
2026-04-29T13:00,29.5,68
2026-04-29T14:00,29.0,72
2026-04-29T15:00,29.9,69
2026-04-29T16:00,28.5,74
2026-04-29T17:00,27.2,82
2026-04-29T18:00,26.5,85
2026-04-29T19:00,26.0,85
2026-04-29T20:00,25.1,87
2026-04-29T21:00,25.2,90
2026-04-29T22:00,24.7,92
2026-04-29T23:00,23.5,96
2026-04-30T00:00,22.6,99
2026-04-30T01:00,22.5,98
2026-04-30T02:00,23.0,98
2026-04-30T03:00,23.1,98
2026-04-30T04:00,23.4,99
2026-04-30T05:00,23.1,99
2026-04-30T06:00,22.5,99
2026-04-30T07:00,22.4,99
2026-04-30T08:00,23.2,96
2026-04-30T09:00,23.8,93
2026-04-30T10:00,25.7,84
2026-04-30T11:00,26.8,79
2026-04-30T12:00,28.2,75
2026-04-30T13:00,28.8,69
2026-04-30T14:00,27.9,77
2026-04-30T15:00,28.0,72
2026-04-30T16:00,27.5,75
2026-04-30T17:00,26.8,79
2026-04-30T18:00,26.0,83
2026-04-30T19:00,25.4,87
2026-04-30T20:00,24.6,91
2026-04-30T21:00,24.1,94
2026-04-30T22:00,23.8,95
2026-04-30T23:00,23.6,96
2026-05-01T00:00,23.5,96
2026-05-01T01:00,23.4,97
2026-05-01T02:00,23.4,97
2026-05-01T03:00,23.2,97
2026-05-01T04:00,22.9,98
2026-05-01T05:00,22.4,99
2026-05-01T06:00,22.4,98
2026-05-01T07:00,23.2,94
2026-05-01T08:00,24.5,88
2026-05-01T09:00,25.6,83
2026-05-01T10:00,26.2,81
2026-05-01T11:00,26.5,79
2026-05-01T12:00,26.8,78
2026-05-01T13:00,27.0,78
2026-05-01T14:00,27.2,79
2026-05-01T15:00,27.2,80
2026-05-01T16:00,27.0,81
2026-05-01T17:00,26.5,83
2026-05-01T18:00,26.0,85
2026-05-01T19:00,25.5,87
2026-05-01T20:00,25.0,88
2026-05-01T21:00,24.5,90
2026-05-01T22:00,24.2,92
2026-05-01T23:00,24.0,93
2026-05-02T00:00,23.8,95
2026-05-02T01:00,23.5,96
2026-05-02T02:00,23.2,97
2026-05-02T03:00,23.0,98
2026-05-02T04:00,22.8,99
2026-05-02T05:00,22.5,100
2026-05-02T06:00,22.5,100
