latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.057774,-2.704697,,0,Europe/London,GMT

time,temperature_2m (°C),relative_humidity_2m (%)
2026-07-01T00:00,16.5,82
2026-07-01T01:00,16.0,83
2026-07-01T02:00,15.7,83
2026-07-01T03:00,14.9,86
2026-07-01T04:00,15.2,84
2026-07-01T05:00,15.1,86
2026-07-01T06:00,15.2,86
2026-07-01T07:00,16.1,81
2026-07-01T08:00,17.5,77
2026-07-01T09:00,18.9,69
2026-07-01T10:00,20.3,58
2026-07-01T11:00,21.1,56
2026-07-01T12:00,21.6,54
2026-07-01T13:00,22.2,50
2026-07-01T14:00,22.7,49
2026-07-01T15:00,22.9,49
2026-07-01T16:00,23.0,46
2026-07-01T17:00,23.2,45
2026-07-01T18:00,22.5,48
2026-07-01T19:00,21.5,53
2026-07-01T20:00,20.0,54
2026-07-01T21:00,18.2,61
2026-07-01T22:00,17.0,71
2026-07-01T23:00,16.9,76
2026-07-02T00:00,16.8,79
2026-07-02T01:00,16.9,82
2026-07-02T02:00,17.3,83
2026-07-02T03:00,18.2,80
2026-07-02T04:00,17.9,81
2026-07-02T05:00,17.6,83
2026-07-02T06:00,17.4,81
2026-07-02T07:00,17.7,74
2026-07-02T08:00,17.8,68
2026-07-02T09:00,18.0,58
2026-07-02T10:00,18.9,52
2026-07-02T11:00,19.3,53
2026-07-02T12:00,20.3,50
2026-07-02T13:00,21.2,47
2026-07-02T14:00,21.9,43
2026-07-02T15:00,22.2,43
2026-07-02T16:00,22.4,41
2026-07-02T17:00,22.3,42
2026-07-02T18:00,21.6,43
2026-07-02T19:00,20.8,45
2026-07-02T20:00,19.6,48
2026-07-02T21:00,18.2,54
2026-07-02T22:00,16.4,60
2026-07-02T23:00,15.2,66
2026-07-03T00:00,14.4,69
2026-07-03T01:00,14.0,70
2026-07-03T02:00,13.6,73
2026-07-03T03:00,12.9,77
2026-07-03T04:00,12.4,78
2026-07-03T05:00,12.0,82
2026-07-03T06:00,12.1,82
2026-07-03T07:00,12.8,81
2026-07-03T08:00,14.8,73
2026-07-03T09:00,17.5,62
2026-07-03T10:00,19.5,56
2026-07-03T11:00,20.6,54
2026-07-03T12:00,21.8,50
2026-07-03T13:00,23.5,45
2026-07-03T14:00,24.0,43
2026-07-03T15:00,24.8,39
2026-07-03T16:00,25.0,40
2026-07-03T17:00,24.9,38
2026-07-03T18:00,24.5,38
2026-07-03T19:00,23.6,38
2026-07-03T20:00,22.0,44
2026-07-03T21:00,19.9,54
2026-07-03T22:00,17.7,64
2026-07-03T23:00,16.7,71
2026-07-04T00:00,16.0,78
2026-07-04T01:00,15.8,80
2026-07-04T02:00,15.4,83
2026-07-04T03:00,16.0,85
2026-07-04T04:00,16.2,86
2026-07-04T05:00,16.2,86
2026-07-04T06:00,17.1,82
2026-07-04T07:00,17.8,78
2026-07-04T08:00,18.8,71
2026-07-04T09:00,19.9,67
2026-07-04T10:00,20.9,63
2026-07-04T11:00,21.9,59
2026-07-04T12:00,22.6,57
2026-07-04T13:00,23.2,55
2026-07-04T14:00,23.6,55
2026-07-04T15:00,24.1,53
2026-07-04T16:00,24.2,54
2026-07-04T17:00,23.8,57
2026-07-04T18:00,23.2,59
2026-07-04T19:00,22.2,63
2026-07-04T20:00,21.3,64
2026-07-04T21:00,20.2,69
2026-07-04T22:00,18.6,76
2026-07-04T23:00,17.6,81
2026-07-05T00:00,17.3,83
2026-07-05T01:00,17.0,85
2026-07-05T02:00,16.9,85
2026-07-05T03:00,17.0,83
2026-07-05T04:00,16.7,81
2026-07-05T05:00,16.2,82
2026-07-05T06:00,16.2,83
2026-07-05T07:00,16.7,81
2026-07-05T08:00,17.6,77
2026-07-05T09:00,18.4,75
2026-07-05T10:00,19.8,71
2026-07-05T11:00,21.1,67
2026-07-05T12:00,22.6,61
2026-07-05T13:00,24.0,55
2026-07-05T14:00,25.6,49
2026-07-05T15:00,26.7,46
2026-07-05T16:00,27.0,47
2026-07-05T17:00,26.9,46
2026-07-05T18:00,26.2,50
2026-07-05T19:00,25.0,57
2026-07-05T20:00,23.7,63
2026-07-05T21:00,22.7,64
2026-07-05T22:00,21.4,66
2026-07-05T23:00,19.9,74
2026-07-06T00:00,18.9,75
2026-07-06T01:00,18.5,67
2026-07-06T02:00,17.5,74
2026-07-06T03:00,16.7,78
2026-07-06T04:00,16.4,76
2026-07-06T05:00,16.1,77
2026-07-06T06:00,16.8,74
2026-07-06T07:00,18.0,70
2026-07-06T08:00,19.5,66
2026-07-06T09:00,21.5,53
2026-07-06T10:00,22.6,54
2026-07-06T11:00,24.6,45
2026-07-06T12:00,26.5,38
2026-07-06T13:00,27.4,36
2026-07-06T14:00,27.9,37
2026-07-06T15:00,28.2,34
2026-07-06T16:00,28.2,33
2026-07-06T17:00,28.0,32
2026-07-06T18:00,27.3,33
2026-07-06T19:00,26.4,37
2026-07-06T20:00,25.2,43
2026-07-06T21:00,23.7,49
2026-07-06T22:00,22.2,50
2026-07-06T23:00,21.3,52
2026-07-07T00:00,20.4,55
2026-07-07T01:00,19.1,62
2026-07-07T02:00,18.3,67
2026-07-07T03:00,17.7,70
2026-07-07T04:00,17.4,72
2026-07-07T05:00,16.7,75
2026-07-07T06:00,16.9,79
2026-07-07T07:00,17.5,78
2026-07-07T08:00,17.6,78
2026-07-07T09:00,18.3,73
2026-07-07T10:00,19.7,66
2026-07-07T11:00,21.7,59
2026-07-07T12:00,23.5,51
2026-07-07T13:00,25.3,45
2026-07-07T14:00,26.9,39
2026-07-07T15:00,28.0,35
2026-07-07T16:00,28.5,32
2026-07-07T17:00,29.1,33
2026-07-07T18:00,28.4,33
2026-07-07T19:00,27.6,36
2026-07-07T20:00,26.3,37
2026-07-07T21:00,25.2,44
2026-07-07T22:00,23.0,50
2026-07-07T23:00,21.8,54
2026-07-08T00:00,21.2,52
2026-07-08T01:00,19.9,59
2026-07-08T02:00,18.7,64
2026-07-08T03:00,18.3,62
2026-07-08T04:00,17.6,66
2026-07-08T05:00,17.6,68
2026-07-08T06:00,17.3,71
2026-07-08T07:00,18.2,70
2026-07-08T08:00,20.2,64
2026-07-08T09:00,22.2,55
2026-07-08T10:00,24.0,48
2026-07-08T11:00,25.8,41
2026-07-08T12:00,27.4,36
2026-07-08T13:00,28.6,33
2026-07-08T14:00,29.5,31
2026-07-08T15:00,30.9,29
2026-07-08T16:00,31.6,27
2026-07-08T17:00,31.9,28
2026-07-08T18:00,31.8,30
2026-07-08T19:00,31.4,31
2026-07-08T20:00,30.4,32
2026-07-08T21:00,29.2,36
2026-07-08T22:00,26.9,42
2026-07-08T23:00,25.4,46
2026-07-09T00:00,23.8,54
2026-07-09T01:00,22.9,57
2026-07-09T02:00,21.8,62
2026-07-09T03:00,21.1,68
2026-07-09T04:00,20.0,73
2026-07-09T05:00,19.4,74
2026-07-09T06:00,18.8,76
2026-07-09T07:00,19.5,75
2026-07-09T08:00,21.1,70
2026-07-09T09:00,22.9,63
2026-07-09T10:00,24.6,58
2026-07-09T11:00,26.4,47
2026-07-09T12:00,28.1,37
2026-07-09T13:00,29.6,33
2026-07-09T14:00,31.0,26
2026-07-09T15:00,32.0,25
2026-07-09T16:00,32.7,22
2026-07-09T17:00,32.9,21
2026-07-09T18:00,32.9,21
2026-07-09T19:00,32.7,21
2026-07-09T20:00,31.9,26
2026-07-09T21:00,30.5,35
2026-07-09T22:00,27.6,41
2026-07-09T23:00,24.5,50
2026-07-10T00:00,23.1,47
2026-07-10T01:00,22.1,48
2026-07-10T02:00,21.0,49
2026-07-10T03:00,20.6,51
2026-07-10T04:00,19.9,57
2026-07-10T05:00,19.7,61
2026-07-10T06:00,19.5,60
2026-07-10T07:00,20.2,62
2026-07-10T08:00,21.6,61
2026-07-10T09:00,23.5,59
2026-07-10T10:00,25.2,57
2026-07-10T11:00,27.6,51
2026-07-10T12:00,29.2,47
2026-07-10T13:00,31.7,40
2026-07-10T14:00,32.9,33
2026-07-10T15:00,32.8,29
2026-07-10T16:00,33.5,28
2026-07-10T17:00,33.7,25
2026-07-10T18:00,33.7,26
2026-07-10T19:00,32.9,33
2026-07-10T20:00,31.6,33
2026-07-10T21:00,31.0,31
2026-07-10T22:00,28.4,38
2026-07-10T23:00,27.4,41
2026-07-11T00:00,25.9,45
2026-07-11T01:00,25.2,45
2026-07-11T02:00,23.7,52
2026-07-11T03:00,22.4,56
2026-07-11T04:00,21.3,60
2026-07-11T05:00,20.0,63
2026-07-11T06:00,19.2,63
2026-07-11T07:00,19.9,65
2026-07-11T08:00,21.2,63
2026-07-11T09:00,23.1,56
2026-07-11T10:00,24.9,48
2026-07-11T11:00,26.3,43
2026-07-11T12:00,27.9,36
2026-07-11T13:00,29.2,32
2026-07-11T14:00,30.3,29
2026-07-11T15:00,31.1,29
2026-07-11T16:00,31.3,29
2026-07-11T17:00,31.2,28
2026-07-11T18:00,30.7,29
2026-07-11T19:00,29.7,31
2026-07-11T20:00,28.2,35
2026-07-11T21:00,26.4,41
2026-07-11T22:00,24.0,52
2026-07-11T23:00,22.2,60
2026-07-12T00:00,20.9,63
2026-07-12T01:00,19.6,69
2026-07-12T02:00,18.1,78
2026-07-12T03:00,18.1,77
2026-07-12T04:00,18.2,76
2026-07-12T05:00,18.0,75
2026-07-12T06:00,18.0,74
2026-07-12T07:00,18.5,72
2026-07-12T08:00,19.1,70
2026-07-12T09:00,20.2,67
2026-07-12T10:00,22.0,61
2026-07-12T11:00,23.6,55
2026-07-12T12:00,25.3,49
2026-07-12T13:00,27.2,42
2026-07-12T14:00,28.7,36
2026-07-12T15:00,29.5,34
2026-07-12T16:00,29.9,33
2026-07-12T17:00,29.5,34
2026-07-12T18:00,28.7,35
2026-07-12T19:00,27.7,34
2026-07-12T20:00,26.2,33
2026-07-12T21:00,24.0,35
2026-07-12T22:00,22.0,39
2026-07-12T23:00,20.6,49
2026-07-13T00:00,19.1,56
2026-07-13T01:00,17.9,55
2026-07-13T02:00,16.9,58
2026-07-13T03:00,15.7,67
2026-07-13T04:00,14.5,78
2026-07-13T05:00,14.2,80
2026-07-13T06:00,14.0,79
2026-07-13T07:00,14.6,75
2026-07-13T08:00,15.6,68
2026-07-13T09:00,16.3,66
2026-07-13T10:00,17.4,68
2026-07-13T11:00,18.3,66
2026-07-13T12:00,19.1,64
2026-07-13T13:00,20.2,63
2026-07-13T14:00,21.6,57
2026-07-13T15:00,23.4,49
2026-07-13T16:00,24.9,47
2026-07-13T17:00,26.2,40
2026-07-13T18:00,26.5,39
2026-07-13T19:00,25.7,42
2026-07-13T20:00,24.6,45
2026-07-13T21:00,22.9,52
2026-07-13T22:00,21.0,56
2026-07-13T23:00,19.8,61
2026-07-14T00:00,18.6,65
2026-07-14T01:00,17.3,70
2026-07-14T02:00,16.3,74
2026-07-14T03:00,15.1,79
2026-07-14T04:00,14.6,78
2026-07-14T05:00,14.2,81
2026-07-14T06:00,14.0,85
2026-07-14T07:00,14.7,81
2026-07-14T08:00,15.7,76
2026-07-14T09:00,17.0,68
2026-07-14T10:00,18.7,63
2026-07-14T11:00,20.6,57
2026-07-14T12:00,22.7,52
2026-07-14T13:00,24.0,49
2026-07-14T14:00,25.1,47
2026-07-14T15:00,26.5,44
2026-07-14T16:00,27.3,41
2026-07-14T17:00,27.7,39
2026-07-14T18:00,27.8,38
2026-07-14T19:00,27.2,42
2026-07-14T20:00,26.1,44
2026-07-14T21:00,24.8,48
2026-07-14T22:00,22.7,54
2026-07-14T23:00,21.2,61
2026-07-15T00:00,19.5,66
2026-07-15T01:00,17.9,74
2026-07-15T02:00,16.5,82
2026-07-15T03:00,16.2,83
2026-07-15T04:00,16.0,83
2026-07-15T05:00,15.5,86
2026-07-15T06:00,15.3,86
2026-07-15T07:00,15.7,84
2026-07-15T08:00,16.5,82
2026-07-15T09:00,17.6,79
2026-07-15T10:00,18.9,75
2026-07-15T11:00,19.6,71
2026-07-15T12:00,21.3,63
2026-07-15T13:00,23.0,54
2026-07-15T14:00,24.8,46
2026-07-15T15:00,26.0,44
2026-07-15T16:00,27.2,38
2026-07-15T17:00,27.5,35
2026-07-15T18:00,27.5,34
2026-07-15T19:00,27.0,34
2026-07-15T20:00,26.3,36
2026-07-15T21:00,24.7,41
2026-07-15T22:00,22.6,47
2026-07-15T23:00,21.3,56
2026-07-16T00:00,20.0,62
2026-07-16T01:00,18.7,64
2026-07-16T02:00,17.8,69
2026-07-16T03:00,16.9,73
2026-07-16T04:00,15.8,77
2026-07-16T05:00,15.2,80
2026-07-16T06:00,15.3,79
2026-07-16T07:00,14.9,85
2026-07-16T08:00,15.7,82
2026-07-16T09:00,17.5,75
2026-07-16T10:00,19.7,67
2026-07-16T11:00,21.7,58
2026-07-16T12:00,24.0,49
2026-07-16T13:00,26.0,40
2026-07-16T14:00,27.4,33
2026-07-16T15:00,28.3,29
2026-07-16T16:00,28.5,28
2026-07-16T17:00,28.6,29
2026-07-16T18:00,28.4,30
2026-07-16T19:00,27.9,32
2026-07-16T20:00,27.2,30
2026-07-16T21:00,26.0,32
2026-07-16T22:00,23.7,40
2026-07-16T23:00,22.6,44
2026-07-17T00:00,21.1,48
2026-07-17T01:00,20.0,49
2026-07-17T02:00,20.0,52
2026-07-17T03:00,18.3,57
2026-07-17T04:00,16.5,70
2026-07-17T05:00,16.7,66
2026-07-17T06:00,16.0,73
2026-07-17T07:00,17.0,69
2026-07-17T08:00,18.4,62
2026-07-17T09:00,20.1,58
2026-07-17T10:00,22.3,52
2026-07-17T11:00,24.4,45
2026-07-17T12:00,27.5,36
2026-07-17T13:00,29.5,29
2026-07-17T14:00,30.4,24
2026-07-17T15:00,30.8,24
2026-07-17T16:00,29.7,28
2026-07-17T17:00,29.6,29
2026-07-17T18:00,28.8,27
2026-07-17T19:00,27.4,26
2026-07-17T20:00,26.0,33
2026-07-17T21:00,24.4,39
2026-07-17T22:00,22.0,49
2026-07-17T23:00,20.6,58
2026-07-18T00:00,19.3,63
2026-07-18T01:00,18.2,67
2026-07-18T02:00,17.0,72
2026-07-18T03:00,16.2,71
2026-07-18T04:00,15.6,74
2026-07-18T05:00,14.7,78
2026-07-18T06:00,14.2,78
2026-07-18T07:00,14.8,75
2026-07-18T08:00,15.6,73
2026-07-18T09:00,17.1,66
2026-07-18T10:00,18.9,59
2026-07-18T11:00,20.5,54
2026-07-18T12:00,21.9,49
2026-07-18T13:00,23.2,44
2026-07-18T14:00,23.9,42
2026-07-18T15:00,24.5,40
2026-07-18T16:00,24.9,40
2026-07-18T17:00,25.0,42
2026-07-18T18:00,24.6,44
2026-07-18T19:00,23.6,48
2026-07-18T20:00,23.0,47
2026-07-18T21:00,22.4,48
2026-07-18T22:00,20.9,52
2026-07-18T23:00,19.7,55
2026-07-19T00:00,18.5,59
2026-07-19T01:00,17.0,62
2026-07-19T02:00,16.2,66
2026-07-19T03:00,15.0,70
2026-07-19T04:00,14.8,67
2026-07-19T05:00,14.5,64
2026-07-19T06:00,13.1,75
2026-07-19T07:00,13.6,72
2026-07-19T08:00,15.2,68
2026-07-19T09:00,16.8,62
2026-07-19T10:00,18.0,56
2026-07-19T11:00,19.3,54
2026-07-19T12:00,21.0,47
2026-07-19T13:00,22.5,41
2026-07-19T14:00,23.9,36
2026-07-19T15:00,24.8,33
2026-07-19T16:00,25.0,30
2026-07-19T17:00,25.5,30
2026-07-19T18:00,25.0,30
2026-07-19T19:00,24.0,32
2026-07-19T20:00,23.0,34
2026-07-19T21:00,21.7,33
2026-07-19T22:00,20.1,36
2026-07-19T23:00,18.9,48
2026-07-20T00:00,17.9,57
2026-07-20T01:00,16.7,65
2026-07-20T02:00,15.8,70
2026-07-20T03:00,14.8,70
2026-07-20T04:00,13.9,67
2026-07-20T05:00,13.1,69
2026-07-20T06:00,13.1,75
2026-07-20T07:00,13.3,80
2026-07-20T08:00,14.8,73
2026-07-20T09:00,16.6,66
2026-07-20T10:00,18.9,53
2026-07-20T11:00,20.9,44
2026-07-20T12:00,22.3,37
2026-07-20T13:00,24.0,28
2026-07-20T14:00,25.4,26
2026-07-20T15:00,26.1,27
2026-07-20T16:00,26.3,26
2026-07-20T17:00,27.2,25
2026-07-20T18:00,27.3,26
2026-07-20T19:00,26.7,28
2026-07-20T20:00,25.6,31
2026-07-20T21:00,23.7,32
2026-07-20T22:00,21.4,43
2026-07-20T23:00,19.6,52
2026-07-21T00:00,18.0,61
2026-07-21T01:00,17.1,64
2026-07-21T02:00,16.5,67
2026-07-21T03:00,15.8,71
2026-07-21T04:00,15.0,75
2026-07-21T05:00,14.6,76
2026-07-21T06:00,14.4,79
2026-07-21T07:00,14.9,77
2026-07-21T08:00,16.2,72
2026-07-21T09:00,17.9,64
2026-07-21T10:00,19.1,60
2026-07-21T11:00,20.4,55
2026-07-21T12:00,22.0,51
2026-07-21T13:00,23.9,43
2026-07-21T14:00,25.4,38
2026-07-21T15:00,26.2,35
2026-07-21T16:00,27.2,33
2026-07-21T17:00,27.8,32
2026-07-21T18:00,27.7,33
2026-07-21T19:00,27.3,32
2026-07-21T20:00,26.4,38
2026-07-21T21:00,22.7,54
2026-07-21T22:00,20.5,60
2026-07-21T23:00,18.7,65
2026-07-22T00:00,17.1,70
2026-07-22T01:00,16.2,73
2026-07-22T02:00,15.7,75
2026-07-22T03:00,15.0,78
2026-07-22T04:00,15.2,76
2026-07-22T05:00,14.5,78
2026-07-22T06:00,14.2,79
2026-07-22T07:00,14.7,77
2026-07-22T08:00,15.7,74
2026-07-22T09:00,17.2,69
2026-07-22T10:00,18.6,63
2026-07-22T11:00,19.9,57
2026-07-22T12:00,20.9,52
2026-07-22T13:00,22.0,49
