latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.926643,-4.230377,,0,Europe/London,GMT

time,temperature_2m (°C),relative_humidity_2m (%)
2026-07-01T00:00,14.9,97
2026-07-01T01:00,14.5,99
2026-07-01T02:00,14.4,94
2026-07-01T03:00,14.0,95
2026-07-01T04:00,14.4,97
2026-07-01T05:00,14.2,98
2026-07-01T06:00,14.3,97
2026-07-01T07:00,14.7,93
2026-07-01T08:00,14.8,94
2026-07-01T09:00,15.9,84
2026-07-01T10:00,16.3,81
2026-07-01T11:00,16.7,79
2026-07-01T12:00,17.2,75
2026-07-01T13:00,17.5,74
2026-07-01T14:00,16.5,78
2026-07-01T15:00,16.7,79
2026-07-01T16:00,15.9,80
2026-07-01T17:00,15.6,82
2026-07-01T18:00,15.3,80
2026-07-01T19:00,14.7,91
2026-07-01T20:00,15.1,90
2026-07-01T21:00,15.1,94
2026-07-01T22:00,15.1,97
2026-07-01T23:00,15.2,99
2026-07-02T00:00,15.4,99
2026-07-02T01:00,15.5,99
2026-07-02T02:00,15.6,97
2026-07-02T03:00,15.8,94
2026-07-02T04:00,15.5,92
2026-07-02T05:00,13.5,86
2026-07-02T06:00,13.3,83
2026-07-02T07:00,13.8,80
2026-07-02T08:00,13.9,80
2026-07-02T09:00,14.1,78
2026-07-02T10:00,14.5,75
2026-07-02T11:00,15.2,73
2026-07-02T12:00,15.3,73
2026-07-02T13:00,15.8,71
2026-07-02T14:00,16.5,65
2026-07-02T15:00,16.8,65
2026-07-02T16:00,16.8,64
2026-07-02T17:00,16.6,65
2026-07-02T18:00,16.7,66
2026-07-02T19:00,16.4,69
2026-07-02T20:00,15.7,71
2026-07-02T21:00,15.1,75
2026-07-02T22:00,13.9,80
2026-07-02T23:00,13.4,81
2026-07-03T00:00,12.5,88
2026-07-03T01:00,10.8,90
2026-07-03T02:00,10.4,91
2026-07-03T03:00,9.9,93
2026-07-03T04:00,10.5,96
2026-07-03T05:00,11.9,96
2026-07-03T06:00,12.6,96
2026-07-03T07:00,14.0,94
2026-07-03T08:00,15.1,87
2026-07-03T09:00,15.9,84
2026-07-03T10:00,16.3,80
2026-07-03T11:00,16.8,79
2026-07-03T12:00,17.5,75
2026-07-03T13:00,17.3,77
2026-07-03T14:00,17.4,78
2026-07-03T15:00,17.7,75
2026-07-03T16:00,17.4,75
2026-07-03T17:00,17.0,75
